KR_Meaning,KR_Idiom,Found_KR_Idiom
 아주 하기 쉬운 일을 비유적으로 이르는 말.,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다,"다음 뜻을 가진 관용구를 찾아보세요:'아주 하기 쉬운 일을 비유적으로 이르는 말.'.겉 보리 돈 사기가 수양딸로 며느리가 되지.''

한 가지 일로부터 다른 것이 생긴다는 것을 비유적으로 이르는 말.어떤 사람에게 나쁜 평가나 평판이 내려지고 넓은 의미에서 그 사람이 실패하거나 망하기까지의 과정이나 기간을 가르"
매우 가까운 거리를 비유적으로 이르는 말.,엎드러지면 코 닿을 데,"다음 뜻을 가진 관용구를 찾아보세요: '매우 가까운 거리를 비유적으로 이르는 말.'.엎드러지면 코 닿은 데.very close; almost touching.
'항복하거나 굴복하다.'에 해당하는 구는 무엇입니까?무릎 꿇기/to admit defeat or surrender.

주먹으로 물 찧기를 하여 우유와 가루가 분리되는 것을 비유ically admitting"
몹시 놀라거나 어이없어서 말을 못 하게 되다.,혀가 내둘리다,"다음 뜻을 가진 관용구를 찾아보세요: '몹시 놀라거나 어이없어서 말을 못 하게 되다.'.혀가 내둘리다.일이 매우 쉽다는 말.주먹으로 물 찧기.할 줄 모르면서 재료만 탓함을 비유적으로 이르는 말.'한 줌 재가 될 것 같다'.‘죽다’를비유적으로 이르러 사용되는 표현.,너무 급히"
대단히 기쁘고 흡족함을 비유적으로 이르는 말.,잔치날에 큰상 받는 기분,다음 뜻을 가진 관용구를 찾아보세요: '대단히 기쁘고 흡족함을 비유적으로 이르는 말.'.잔치날에 큰상 받는 기분.엎드러지면 코 닿은 데로 가까운 거리를비유적으로 이르고 싶어하는 마음 등을 가리킨 표현..입이 무릅쓸 만큼 놀라거나 어이가 오그라들다.‘무�
극도로 화가 나다.,화가 머리끝까지 나다,"다음 뜻을 가진 관용구를 찾아보세요: '극도로 화가 나다.'.화가 머리끝까지 나다.이 갈리로 물 찧기하다.한 가지 일을 하여 두가지 이상의 이익을 보게 됨을 비유적으로 이르는 말.,할 줄 모르면서 재료만 부르듯ी.일이가 났거나 불에 타고 심하게 꾸지람을 듣는 것을 비유적으로 이르는"
‘죽다’를 비유적으로 이르는 말.,한 줌 재가 되다,"다음 뜻을 가진 관용구를 찾아보세요: '‘죽다’를 비유적으로 이르는 말.'.한 줌 재가 되다. 아주 하기 쉬운 일을 비율어 일삼는 경우를 가리켜서 कहत습니다.뒤웅박 신고 얼음을 맞는다.몹시 꾸지람을 듣거나 벌을 받게 될 것을 경계하도록 격려하는 속말., ‘화가 치"
매우 놀랄 만한 것을 보거나 긴장하여 두 눈이 커지다.,두 눈이 꿀단지 같다,다음 뜻을 가진 관용구를 찾아보세요: '매우 놀랄 만한 것을 보거나 긴장하여 두 눈이 커지다.'.두 눈을 뜨고 죽다.일이 매우 쉽다는 말.'주먹으로 물 찧기'.가능성이 아주 Slim이다.‘죽다’를 비유적으로 이르는 말.’될 수 있는 대로’. 가능한 한 최대로. ‘극도로 화가 나다’를비유적으로 이
‘죽다’를 비유적으로 이르는 말.,한 줌 재가 되다,다음 뜻을 가진 관용구를 찾아보세요: '‘죽다’를 비유적으로 이르는 말.'.한 줌 재가 되고 싶지 않습니다I don't want to die.요즘은 사물을 이해하지 못함을 일러서 कहतropaesque understanding of the times). ‘도둑’이 될 수 있는 능력이나 조건을 갖추게 됨을 비유적으로 이르기 위해 사용되는 고속 인터넷
매우 오랜만에.,삼대 구 년 만에,"다음 뜻을 가진 관용구를 찾아보세요: '매우 오랜만에.'.삼대 구 년 만에.Samdae gu nyeon mane.Seldom seen in a lifetime.""Once in three years"" means ""very rarely"".三年一度의 행사 또는 기념일을 맞이하여 열린 전시회나 심포지엄 등 학술적·문화적으로 의미가 있는 모임을 개최하다.
한 가지 일을 하여 두 가지 이상의"
항복하거나 굴복하다.,무릎 꿇다,다음 뜻을 가진 관용구를 찾아보세요: '항복하거나 굴복하다.'.무릎 꿇기To admit defeat or surrender.
매우 오랜만에.,삼대 구 년 만에,"다음 뜻을 가진 관용구를 찾아보세요: '매우 오랜만에.'.삼대 구 년 만에.Samdae gu nyeon mane.Seldom seen in a lifetime.""Once in three years"" means ""very rarely."".한 가지 일을 하여 두 가지 이상의 이익을 보게 됨을 비유적으로 일컫는 말.,어떤 사람에게 나쁜 평가나 평판이 내려지거나 속칭으로 불리기"
매우 오랜만에.,삼대 구 년 만에,"다음 뜻을 가진 관용구를 찾아보세요: '매우 오랜만에.'.삼대 구 년 만에.삼 대 구년 만 에.every three years / once in a blue moon.
'몹시 위태로워서 불안하고 조심스러움을 비유적으로 이르는 말.'뒤웅박 신고 얼음을 맞는 놈이다.극도로 화가 나거나 분을 참지 못하여 독한"
 아주 하기 쉬운 일을 비유적으로 이르는 말.,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다,"다음 뜻을 가진 관용구를 찾아보세요:'아주 하기 쉬운 일을 비유적으로 이르는 말.'.겉 보리 돈 사기가 수양딸로 며느리를 삼는다.매우 가까운 거리에 있는 것을비유통으로 일컫는 말.,‘극도로 화가 나거나 분を 참지 못하여 독한 마음이 생길 때’를 비유적으로 이른 말..간이 오그라"
일이 매우 쉽다는 말.,주먹으로 물 찧기,"다음 뜻을 가진 관용구를 찾아보세요: '일이 매우 쉽다는 말.'.주먹으로 물 찧기.몹시 놀라거나 어이가 오그라들어 입장이 복잡한 경우를 비유적으로 이르는 말.,‘도둑’ 등을 가리켜서 назている.), ‘화가 치밀어서 목적지가 달하지 않게 됨을 비유적인 표현.’에 해당하는 관용구는 무엇입"
화가 치밀어 오르다.,골 오르다,"다음 뜻을 가진 관용구를 찾아보세요: '화가 치밀어 오르다.'.골 오르기 like a bolt of lightning.엎친 데 덮치다 be in over one's head.
이 갈리다be unable to speak or express oneself, typically due to shock, surprise, or confusion.꼬리를 모으고 다니는 것이 틱이다going from bad to worse; facing increasingly difficult circumstances.한 줌 재가"
대단히 기쁘고 흡족함을 비유적으로 이르는 말.,잔치날에 큰상 받는 기분,"다음 뜻을 가진 관용구를 찾아보세요: '대단히 기쁘고 흡족함을 비유적으로 이르는 말.'.잔치날에 큰상 받는 기분.엎친 데 덮치기To make a bad situation worse.
어떤 사람에게 나쁜 평가나 평판이 내려지거나 형평 상 대화가 일어나다.꼬리표 붙다.To be given an unfavorable rating or review"
몹시 꾸지람을 듣거나 벌을 받게 되다.,혼뜨검 만나다,"다음 뜻을 가진 관용구를 찾아보세요: '몹시 꾸지람을 듣거나 벌을 받게 되다.'.혼뜨검 만나기보다 더 불안하고 조심스러움을 비유적으로 이르는 말.극도로 화가 나여 독한 마음이 생겨남을 비유적으로 이르던 표현., ‘너무 급히 서둘러 일을 하면 잘못되고 실패하게 됨’을 비유"
 애써 하던 일이 실패로 돌아가거나 남보다 뒤떨어져 어찌할 도리가 없이 됨을 비유적으로 이르는 말.,닭 쫓던 개 울타리 넘겨다보듯,"다음 뜻을 가진 관용구를 찾아보세요:'애써 하던 일이 실패로 돌아가거나 남보다 뒤떨어져 어찌할 도리가 없이 됨을 비유적으로 이르는 말.'.닭 쫓는 개 울타리 넘겨요.追逐된 동물은 죄없이 죽는다.\n몹시 위태로워서 불안하고 조심스러움을비유적으로 이르는말.,�"
‘죽다’를 비유적으로 이르는 말.,한 줌 재가 되다,다음 뜻을 가진 관용구를 찾아보세요: '‘죽다’를 비유적으로 이르는 말.'.한 줌 재가 되다.매우 가까운 거리를 비교적 멀리 보듯이 看得見看不到的邊界。일곱번째 날에 반복 시작repeating every 7 daysstart repeating every 7 daysagain starting on day 07 again start…
‘죽다’를 비유적으로 이르는 말.,한 줌 재가 되다,"다음 뜻을 가진 관용구를 찾아보세요: '‘죽다’를 비유적으로 이르는 말.'.한 줌 재가 되다. 아주 하기 쉬운 일을비유적으로 이른 말., ‘도둑’이 될 수 있는 능력만具有하다.할 줄 모르면서 할 만큼의 것을 보이다.화가 치밀어 오르다.몹시 화가 나거나 분を 참지 못하여 독한 마음"
너무 급히 서둘러 일을 하면 잘못하고 실패하게 됨을 비유적으로 이르는 말.,급히 먹는 밥이 목이 멘다,"다음 뜻을 가진 관용구를 찾아보세요: '너무 급히 서둘러 일을 하면 잘못하고 실패하게 됨을 비유적으로 이르는 말.'.급한 것이 오그라들지 않습니다. |
오래 살아 아주 늙어서까지 기다리는 것이다., 애써 하던 일이 결局에 의해 거부된다는 의미의 고사성어로 번역해 주세요.닭 쫓는 개 울타리"
몹시 화가 나거나 분을 참지 못하여 독한 마음이 생기다.,이 갈리다,"다음 뜻을 가진 관용구를 찾아보세요: '몹시 화가 나거나 분을 참지 못하여 독한 마음이 생기다.'.이 갈리다.일이 매우 쉽다는 말.,할 줄 모르면서 재료만 탓함을 비유적으로 이르는 말.기술과 능력이 부족한 사람이 객관적인 조건이나 환경에 불满하거나 원망ful of anger or frustration that turns to bitterness).항복"
몹시 위태로워서 불안하고 조심스러움을 비유적으로 이르는 말.,뒤웅박 신고 얼음판에 선 것 같다,"다음 뜻을 가진 관용구를 찾아보세요: '몹시 위태로워서 불안하고 조심스러움을 비유적으로 이르는 말.'.뒤웅박 신고 얼음을 뚝니다beat a hasty retreat; flee in panic or fear.
한 가지 일을 하여 두 가지만 얻는 것이 아닙니다.You can't have your cake and eat it too.You cannot enjoy both the advantages and disadvantages of a given"
 빚을 많이 짊어짐을 비유적으로 이르는 말.,고슴도치 외 따 지듯,다음 뜻을 가진 관용구를 찾아보세요:'빚을 많이 짊어짐을 비유적으로 이르는 말.'.고슴도치 외 따 지듯.뒤웅박 신검 받는 놈보다 더 하기 쉬운 일이 무엇입니까?한 줌 재가 되도록.‘죽다’를비유적으로 이르는말.엎친 데 덮치거나 실패나 사생활의 적에게 손
"기술과 능력이 부족한 사람이 객관적인 조건만 탓하는 경우를 비유적으로 이르는 말.,할 줄 모르면서 재료만 탓함을 비유적으로 이르는 말.",쓸 줄 모르는 것이 책부터 나무란다,"다음 뜻을 가진 관용구를 찾아보세요: '기술과 능력이 부족한 사람이 객관적인 조건만 탓하는 경우를 비유적으로 이르는 말.,할 줄 모르면서 재료만 탓함을 비유적으로 이르는 말.'.쓸 만한 것이 없이 쓴 적이 있는的人.'에게'라는 문장을 한국어로 번역해 주세요.누군가에겐 날 잡히는 일이 잦"
일이 매우 쉽다는 말.,주먹으로 물 찧기,다음 뜻을 가진 관용구를 찾아보세요: '일이 매우 쉽다는 말.'.주먹으로 물 찧기.몹시 놀라거나 어렵더란 말을 비유적으로 이르는 말.'급히 먹는 밥이 목에 닿는다'.너무 급히 서둘러 일을 하면 잘못하고 실패하게 됨을 비유적...Read More로 일할 줄 모르면서 재료만 탓함을 비유
‘죽다’를 비유적으로 이르는 말.,한 줌 재가 되다,다음 뜻을 가진 관용구를 찾아보세요: '‘죽다’를 비유적으로 이르는 말.'.한 줌 재가 되기To die.
‘죽다’를 비유적으로 이르는 말.,한 줌 재가 되다,"다음 뜻을 가진 관용구를 찾아보세요: '‘죽다’를 비유적으로 이르는 말.'.한 줌 재가 되다. 아주 하기 쉬운 일을 보면서 ‘이 정도로 불안하고 두려워지면 무엇에 대비하려고 한다?’라는 문장을 한국어로 번역해 주세요.这样子的话就等于没命了。太小心翼目了。如果这么紧张和害怕,还"
어떤 사람에게 나쁜 평가나 평판이 내려지다.,꼬리표 붙다,다음 뜻을 가진 관용구를 찾아보세요: '어떤 사람에게 나쁜 평가나 평판이 내려지다.'.꼬리표 붙게 되거나 오명을 받고 말하다.예기치 않은 문제가 발생하였습니다Unexpected problem occurredPlease try againlater오류에 대한 자세한 내용은 아래와 같습니다Details of the errors are belowerror 1detailsload moreerrorsLoad More Errors위의 모든 에러들을 무시합니다Ignore
"결혼식 날짜를 정하다.,어떤 일에 대비하여 미리 날을 정하다.",날 잡다,"다음 뜻을 가진 관용구를 찾아보세요: '결혼식 날짜를 정하다.,어떤 일에 대비하여 미리 날을 정하다.'.날 잡는 놈보다 좋은 사물을 보게 됨을 비유적으로 이르는 말.대단히 기쁘고 흡족함을 표현하는 글로벌 고정 애니메이션.기쁜 일이 겹치어서 벌어지거나 다행의 신"
대단히 기쁘고 흡족함을 비유적으로 이르는 말.,잔치날에 큰상 받는 기분,"다음 뜻을 가진 관용구를 찾아보세요: '대단히 기쁘고 흡족함을 비유적으로 이르는 말.'.잔치날에 큰상 받는 기분.축하받던 중 빚 받아 주의가 분산될 수 있음.,감옥살이를 하다가 만기_RELEASE_DATE로 출발할 때의 심경을 일러표현한다..삼 대 구 년 만으로 出版_.三年一度的出版"
어렵거나 나쁜 일이 겹치어 일어나다.,엎친 데 덮치다,다음 뜻을 가진 관용구를 찾아보세요: '어렵거나 나쁜 일이 겹치어 일어나다.'.엎친 데 덮치다.몹시 위태로워서 불안하고 조심스러움을 비유적으로 이르는 말.뒤웅박 신고 얼음판에 선 것 같다.위험한 일을 하여 잘못하면 큰 벌이 내리게 됨을 비유적 표현
 사물을 이해하지 못함을 이르는 말.,외 얽고 벽 친다,다음 뜻을 가진 관용구를 찾아보세요:'사물을 이해하지 못함을 이르는 말.'.외 얽고 벽 친다.도둑이 된 대로 쫓기 시작한다는 말을 비유적으로 번역해 주세요.어떤 사람에게 나쁜 평가나 평판이 내려지거나 속일 수 없게 됨을比喻적으로 일러씀to be caught in a lie or exposed as fraudulent;
기쁘거나 즐거워 입이 크게 벌어지다.,입이 가로 터지다,"다음 뜻을 가진 관용구를 찾아보세요: '기쁘거나 즐거워 입이 크게 벌어지다.'.입가로 물 찧기.슬프거나 깊은 감동에 마음 что 되다.눈뿌리가 뜨겁다.
‘화가 치밀어서 가슴으로 내려오다.’를 비유적으로 이르는 말.심한怒氣に目장하다., 화가 머리끝"
‘죽다’를 비유적으로 이르는 말.,한 줌 재가 되다,"다음 뜻을 가진 관용구를 찾아보세요: '‘죽다’를 비유적으로 이르는 말.'.한 줌 재가 되기이다. ‘매우 가까운 거리를비유적으로 일컫는말.’뒤웅박 신고 얼음판에 선 것 같다.몹시 위태로워서 불안하고 조심스러움을 비유적으로이르김.,슬프거나 깊은 감동으로 눈"
몹시 위태로워서 불안하고 조심스러움을 비유적으로 이르는 말.,뒤웅박 신고 얼음판에 선 것 같다,"다음 뜻을 가진 관용구를 찾아보세요: '몹시 위태로워서 불안하고 조심스러움을 비유적으로 이르는 말.'.뒤웅박 신고 얼음판에 선 것 같다.ice is slippery; be careful not to slip and fall.
어떨 때나 잘못하면 큰일 나기 쉬운 경우를비유적으로 이르는 말.,주먹으로 물 찧기는 어렵습니다Trying"
몹시 두려워지거나 무서워지다.,간이 오그라들다,"다음 뜻을 가진 관용구를 찾아보세요: '몹시 두려워지거나 무서워지다.'.간이 오그라들다.두 눈동자가 꿀단지를 보게 되다.
주먹으로 물 찧기듯이다.일치하는 기록을 찾을 수 없습니다.The matching record could not be found.
항복하거나 굴복하다.무릎꿇다.'도둑의 발 �"
 오래 살아 아주 늙을 때까지를 이르는 말.,검은 머리 파 뿌리 되도록,"다음 뜻을 가진 관용구를 찾아보세요:'오래 살아 아주 늙을 때까지를 이르는 말.'.검은 머리 파 뿌리가 되도록.‘죽다’를 비유적으로 일컫는 표현.,오랜만에.'매우 드물게'. ‘삼대 구 년 만에’.고슴도치 외 따 지듯. 빚 많이 짊어짐을 비율 하여 하는말./"
항복하거나 굴복하다.,무릎 꿇다,다음 뜻을 가진 관용구를 찾아보세요: '항복하거나 굴복하다.'.무릎 꿇다To admit defeat or surrender.‘ 무릅이 꾸지람을 듣게 되어서’에 해당하는 말은 무엇입니까?뒤웅박 신고 얼음판 위로 나서기/e가슴속에서 두려워지는 것이 있다./몹시 화가 나거나 분to be extremely angry or
몹시 두려워지거나 무서워지다.,간이 오그라들다,"다음 뜻을 가진 관용구를 찾아보세요: '몹시 두려워지거나 무서워지다.'.간이 오그라들다.두 눈동자가 꿀단지를 보게 되다.매우 놀랄 만한 것을 увидеть 또는 경험하다., ‘너무 급히 서둘러 일을 하면 잘못하고 실패하게 됨을 비유적으로 이르는 말.’급히 먹는 밥이 목에"
‘죽다’를 비유적으로 이르는 말.,한 줌 재가 되다,"다음 뜻을 가진 관용구를 찾아보세요: '‘죽다’를 비유적으로 이르는 말.'.한 줌 재가 되다.very little or no money, success, etc.; utterly failed or deteriorated.a business that is not profitable will eventually go out ofbusiness.if a plan или project fails to produce the desired results,it may be abandoned 또는 discarded in favour của another.one's hopes hoặc dreams may fail để materialize.the company went bankrupt and was liquid"
마음 놓고 편히 자다.,발 뻗고 자다,"다음 뜻을 가진 관용구를 찾아보세요: '마음 놓고 편히 자다.'.발 뻗고 주무르기.항복하거나 굴복하다.

주먹으로 물 찧기를 하라면?손가락 끝에 달린 부품이 떨어지습니다Finger joint broken at end mill segment"
몹시 화가 나거나 분을 참지 못하여 독한 마음이 생기다.,이 갈리다,"다음 뜻을 가진 관용구를 찾아보세요: '몹시 화가 나거나 분을 참지 못하여 독한 마음이 생기다.'.이 갈리다.화가 머리가 달아오르도록 되다.
‘매우 오랜만에.’ 또는 ‘너무 급히 서둘러 일을 하면 잘못하고 실패하게 됨을 비유적으로 이르는 말.).급하다 하여 두 눈이가 뜨겁니다"
 ‘도둑’을 비유적으로 이르는 말.,밤이슬 맞는 놈,"다음 뜻을 가진 관용구를 찾아보세요:'‘도둑’을 비유적으로 이르는 말.'.밤이슬 맞는 놈.엎드러지면 코 닿은 거리 kadar yakın olmak.;매우 가까운 расстоя리를비유통하여 나타내며, 두 사람 사이에대단히 오랜만의 만남을 일컫는다.‘닭 쫓던 개 울타ри 넘겨"
슬프거나 깊은 감동을 받아 눈물이 핑 돌면서 가슴에 강한 자극이 일어나다.,눈뿌리가 뜨겁다,다음 뜻을 가진 관용구를 찾아보세요: '슬프거나 깊은 감동을 받아 눈물이 핑 돌면서 가슴에 강한 자극이 일어나다.'.눈뿌리가 뜨겁다.
한 가지 일을 하여 두 가지 이상의 이익을 보게 됨을 비유적으로 이르는 말.,굿도 볼 겸 떡도 먹을 겸,"다음 뜻을 가진 관용구를 찾아보세요: '한 가지 일을 하여 두 가지 이상의 이익을 보게 됨을 비유적으로 이르는 말.'.굿도 볼 겸 떡도 먹을 겸.겉보기로 내심에 감출 수 없음 zu sehen und nichts weiter.to see is to believe.
이 항목에는 오디오 형식만 포함되어 있습니다This item only contains audio formats.audio-only items cannot be annotated오"
항복하거나 굴복하다.,무릎 꿇다,다음 뜻을 가진 관용구를 찾아보세요: '항복하거나 굴복하다.'.무릎 꿇기To admit defeat or surrender.
가능한 한 최대로.,될 수 있는 대로,다음 뜻을 가진 관용구를 찾아보세요: '가능한 한 최대로.'.될 수 있는 대로.대단히 기쁘고 흡족함을 비유적으로 이르는 말.'잔치날에 큰상 받는 것 같다'.어떤 사람에게 나무란 것을 보거나 들으며 그 사람이 화가 날 지 알고 있음을 의미한다.‘도둑’이 오그라들 때 물리게 되는 바늘이다
감옥살이를 하다.,콩밥 맛을 보다,"다음 뜻을 가진 관용구를 찾아보세요: '감옥살이를 하다.'.콩밥 맛을 보다. 오래 살아 아주 늙어서 죽는 것을 비유적으로 이르는 말.,‘죽다’를비유적으로 이르기 위해 사용되는 표현.).삼대 구 년 만에.매우 길게 약속이 지연되거나 미뤄지다.예약된 알람 시간까지 잠금 상태 유지Keep"
기쁘거나 즐거워 입이 크게 벌어지다.,입이 가로 터지다,"다음 뜻을 가진 관용구를 찾아보세요: '기쁘거나 즐거워 입이 크게 벌어지다.'.입이 가로 터지고 하얀 머리 되도록.몹시 놀라거나 어이가 오그라들 때에 이르는 말.,‘매우 이상한 것을 보거나 긴장하여’ 두 눈동자가 커지듯이다.눈뿌리가 뜨겁고 조심스러움"
