Original_EN_Sentence,EN_to_KR_Translation,Label
Asking for a week off right before the busiest season at work is a big ask.,직장에서 가장 바쁠 때에 바로 일주일간 휴가를 요청하는 것은 매우 큰 요구입니다.,하늘의 별 따기
His opinion on the matter is worth a dime's worth to me; I’ve already made up my mind.,그 사람의 의견은 한 푼도 안 가요. 이미 마음이 정해졌으니까.,아홉 마리 소에 터럭 하나
"She won the race by a hair's breadth, crossing the finish line just milliseconds ahead of her competitor.",1 밀리초 차이로 우승을 차지했다는 말.,엎드러지면 코 닿을 데
"His excuse for being late was a load of codswallop, and everyone could see right through it.","늦게 온 그의 핑계는 전혀 믿을 수 없는 거짓말이었고, 모두 그 진미를 알아보았다.",고양이가 알 낳을 노릇이다
"The financial crisis was a perfect storm of poor investments, high debt levels, and plummeting market confidence.","재정 위기란 잘못된 투자, 높은 부채, 그리고 시장의 신뢰가 크게 떨어짐을 비유적으로 이르는 말.",피겨죽에 강도
The math test was a piece of cake; I finished it in just fifteen minutes!,수학 시험은 매우 쉬웠다. 15분 만에 끝냈다.,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다
That vintage guitar for just fifty dollars was a steal!,50달러에 구입한 그 오래된 기타는 대단히 저렴한 가격이었다는 말.,값싼 갈치자반 
"The park is just a stone's throw from my apartment, making it easy to visit whenever I want.",근처에 공원이 있어 언제나 쉽게 방문할 수 있다는 말.,엎드러지면 코 닿을 데
"I tried using that old printer, but it was about as useful as a chocolate teapot.","그 오래된 프린터를 사용하려고 시도했지만, 그만큼 쓸모가 없음을 비유적으로 이르는 말.",시거든 떫지나 말고 얽거든 검지나 말지
"After she moved away, he was left with an aching heart as he missed her every single day.",그녀가 떠난 후 그는 매일매일 그녀를 생각하느라고 가슴이 아팠다.,코허리가 저리고 시다
His careless remarks only added fuel to the fire during the heated argument between the two friends.,"두 친구 사이에 격분한 논쟁이 벌어지고 있을 때, 그는 아무렇지도 않은 듯이 아무말을 하지 않아야 한다고 말함을 비유적으로 이르는 말.",울려는 아이 뺨 치기
"The invitation was sent to all and sundry, ensuring that no one was left out of the celebration.",모든 사람에게 초대장을 보냈기 때문에 누구도 축하 행사에 참여하지 못하게 됨을 비유적으로 이르는 말.,너 나 할 것 없이
"When she said she had news about the promotion, I was all ears.",그녀가 승진에 대한 소식을 알려주겠다고 하자 나도 귀를 기울였다.,눈과 귀가 쏠리다
"I double-checked my packing, and now I’m all set for our trip tomorrow.",내 짐을 꼼꼼히 챙기고 나니 내일 떠나는 여행 준비는 다 됐다는 말.,신들메를 조이다
Her constant lateness to work was just another nail in her coffin when it came to keeping her job.,일찍 오르지 않는 그녀의 습관은 일자리를 잃게 되는 또 다른 이유가 됨을 비유적으로 이르는 말.,엎친 데 덮치다
"The kids had ants in their pants during the long car ride, constantly asking, ""Are we there yet?""",아이들은 긴 차량여행 중에 항상 '이제 곧 도착할까요?'이라는 질문을 하였다.,불알 밑이 근질근질하다
The team worked around the clock to meet the project deadline.,프로젝트 마감일을 맞추기 위하여 팀은 하루도 쉰 일이 없게 됨을 이르는 말.,사돈 밤 바래기
The math test was as easy as pie; I finished it in just fifteen minutes.,수학 시험은 매우 쉬웠다. 15분 만에 끝냈다.,주먹으로 물 찧기
"After receiving the good news about her promotion, she was as happy as a clam.",그녀가 승진 소식을 듣고 매우 기뻐하던 것을 비유적으로 이르는 말.,잔치날에 큰상 받는 기분
"When she told me the news, I was completely at a loss for words.","그녀가 그 소식을 알려 주었을 때, 나는 말도 못 하게 되었습니다.",혀가 내둘리다
"During the lecture, I could tell she was away with the fairies, completely oblivious to what the professor was saying.",강의 중에 그녀는 무슨 생각을 하고 있는지 모르겠다는 표정을 짓고 있었습니다.,소 잡아먹을 궁리하듯 한다
"She waited with bated breath for the results of the audition, hoping to hear good news.",오래 기다리던 결과가 나올 때를 기다리는 사람의 긴장된 마음을 비유적으로 이르는 말.,간이 조마조마하다
"If you want to join us at the dinner party, you need to promise to behave yourself.",저녁 파티에 참석하려면 자제를 기르겠다고 약속해야 합니다.,들 데 놓을 데를 안다
It took a lot of courage for her to bell the cat and confront the bully who had been terrorizing the students.,그녀가 괴롭힘을 당하던 학생들을 위하여 용기를 내어 용의 눈썹을 깎는 것만큼 어려운 일을 해냄을 비유적으로 이르는 말.을 표현하기에 '용의 눈을 가리다'이 적합한 관용구입니다.,칼 물고 뜀뛰기
"When she saw the mess the kids had made, she nearly blew a gasket.",자식들이 만들어 놓은 엉큼한 꼴을 본 그녀는 몹시 화를 냈음을 비유적으로 이르는 말.,이 갈리다
"She doesn't like to blow her own horn, but everyone knows she's the best in the department.",자기가 잘하는 것을 자랑하지 않는 사람을 비유적으로 이르는 말.,구렁이 제 몸 추듯
He never misses an opportunity to blow his own trumpet during meetings.,회의에서 늘 자기가 한 일이나 이룩한 성과를 자랑함을 비유적으로 이르는 말.,구렁이 제 몸 추듯
"When he discovered that his project had been sabotaged, he blew his top and confronted the team immediately.",그가 자신의 프로젝트가 망쳐졌다는 것을 알게 되자 분을 참지 못하고 곧바로 팀원들을 꾸짖었다.,화가 머리끝까지 나다
The old dog finally breathed his last after a long and happy life.,오랜 세월을 살아온 늙은이도 마침내 죽게 됨을 비유적으로 이르는 말.,한 줌 재가 되다
"After losing his job, he was completely broke and had to move back in with his parents.",그가 일자리를 잃고 어찌할 도리가 없이 되다보니 부모님 곁으로 돌아와 살게 됨을 비유적으로 이르는 말.,땡전 한 푼 없다
"When she walked in and saw the surprise party, her bug-eyed expression said it all.",그녀가 당한 놀라움을 표현하기에 '눈이 커지다'이 적합한 관용구입니다.,두 눈이 꿀단지 같다
"After all those years of risky adventures, he finally bought the farm during a mountain climbing accident.","수년간의 위험한 모험 끝에, 그는 산登攀 사고에서 목숨을 잃었다.",한 줌 재가 되다
"Before you cast the first stone at her, remember that we've all made mistakes in our past.","먼저 돌을 던지기 전에, 우리 모두는 과거에 잘못을 저질렀다는 것을 생각해 보아야 한다.",제 그른 줄 모르고 남만 그르다 한다
"When I asked him about his strange behavior, he just stared at me as if the cat had got his tongue.","그의 이상한 행동에 대하여 물었을 때, 그는 아무 말도 하지 않고 나를 쳐다봤다는 말. '고양이가 입을 벌렸다'이라는 관용구를 사용할 수 있습니다.",혀가 내둘리다
The coach chewed the players out after their poor performance in the game.,감독은 팀이 저질러 놓은 실수 때문에 몹시 화를 냈습니다.,혼뜨검 만나다
The raise they offered me was nothing more than chicken feed compared to the work I do.,제게 제안된 급여 인상은 제 일에 비하여 턱없이 적다는 말.,아홉 마리 소에 터럭 하나
"After receiving the news of her promotion, she was on cloud nine for the rest of the week.",그녀가 승진 소식을 듣고 나서 일주일 동안 매우 기분이 좋았다는 말.,잔치날에 큰상 받는 기분
"When I forgot to submit the report on time, my boss came down on me like a ton of bricks.","보고서 제출을 늦추었을 때, 상사로부터 엄격한 비판을 받게 됨을 비유적으로 이르는 말.",혼뜨검 만나다
It recently came to my attention that the meeting has been rescheduled for next week.,회의 일정이 다음 주로 변경되었다는 것을 최근에 알게 됨을 비유적으로 이르는 말.,눈이 트이다
"After hours of arguing, he finally decided to cry uncle and accept that he was wrong.","오랫동안 다툰 끝에, 그는 결국 손 떼고 잘못한 것임을 인정하였다.",무릎 꿇다
The test was easy as pie; I finished it in just fifteen minutes.,시험은 매우 쉬웠다. 15분 만에 끝냈다.,주먹으로 물 찧기
The math test was easy-peasy; I finished it in just fifteen minutes!,수학 시험은 매우 쉬웠다. 15분 만에 끝냈다.,주먹으로 물 찧기
Every man jack of us had a great time at the party last night.,저녁에 있었던 파티는 모두가 즐겁게 참석했음을 비유적으로 이르는 말.,너 나 할 것 없이
She checks her phone every minute to see if he has replied to her message.,그가 메시지를 보냈는지 확인하기 위하여 자주 핸드폰을 확인한다는 말.,낮이고 밤이고
"After years of working together, their constant bickering made it clear that familiarity breeds contempt.","여러 해 동안 함께 일한 끝에, 늘 다툼을 벌이다 보니 익숙한 사람도 싫어하게 된다는 것을 잘 나타낼 수 있는 관용구입니다.",가까운 집 며느리일수록 흉이 많다
"Instead of trying to resolve the argument, she just fanned the flames by bringing up old issues.",논쟁을 해결하려고 하지 않고 오히려 이전의 이슈를 끌어들여 불을 붙였다.,불붙는 데 키질하기
Her story about being abducted by aliens seemed far-fetched to everyone at the party.,파티에 참석한 모든 사람들이 그녀의 외계인에 의해 납치되었다는 이야기를 믿지 못했다.,불 안 때도 절로 익는 솥
"After receiving that promotion, I felt like a million!",그 승진을 받고 나서 나는 엄청난 기쁨을 느꼈다.,잔치날에 큰상 받는 기분
"During his fit of anger, he shouted at everyone in the room without thinking.",화가 나서 아무 생각 없이 방구석에 앉아 있는 사람까지 욕하는 사람을 비꼬는 말.,골 오르다
"After receiving the good news about her promotion, she was full of the joys of spring all day long.",그녀가 승진 소식을 듣고는 하루종일 기분이 좋았다는 말.,잔치날에 큰상 받는 기분
"If you don't finish that project on time, you're going to get it in the neck from the boss.",그 프로젝트를 시간 내서 끝내지 않으면 사장님한테 욕을 듣게 됨을 비유적으로 이르는 말.,혼뜨검 만나다
"I appreciate your honesty; just give it to me straight, no sugarcoating.",솔직하게 말해 주시겠어요?  거짓말은 하지 마시고 다정한 사이임을 감안하여도 거기에는 한계가 있다는 말.,말은 바른대로 하고 큰 고기는 내 앞에 놓아라
"When he missed the deadline for the project again, his boss really gave him what for.","그가 또 프로젝트의 마감 기한을 놓쳤을 때, 그의 상사로부터 엄격한 비판을 받게 됨을 비유적으로 이르는 말.",혼뜨검 만나다
"After months of trying to fix the car, I finally decided to give up and take it to the mechanic.",몇 달 동안 차를 고치려고 애쓰던 끝에 결국은 수리공에게 맡기기로 했다.,무릎 꿇다
"When she saw the mess he made in the kitchen, she went ballistic.",그가 만든 주방의 난장판을 본 그녀는 몹시 화를 냈음을 이르는 말.,이 갈리다
"After months of hard work, the project went down the pan when the funding was cut.",수개월간의 고된 노력 끝에 프로젝트는 자금 조달이 끊어짐을 비유적으로 이르는 말.,닭 쫓던 개 울타리 넘겨다보듯
"If you believe in your idea, just go for it and don't hold back.",자신이 믿고 있는 생각을 행동으로 옮겨야 함을 비유적으로 이르는 말.,맨발 벗고 나서다
"In our company, innovation and teamwork go hand in hand to achieve the best results.",우리 회사의 강점은 혁신과 팀워크입니다. 이 두 가지를 잘 조합하면 최고의 성과를 거둘 수 있음을 이르는 말.,거미 줄 따르듯
"After his accident, I couldn't help but think he might go home in a box if things didn't improve.","그가 사고를 당한 후, 그의 상태가 나아지지 않으면 죽을지도 모른다는 생각이 들었다는 말.",한 줌 재가 되다
"During the meeting, she seemed to just go through the motions, rarely contributing anything meaningful to the discussion.",회의에서 그녀는 거의 아무 말도 하지 않고 그냥 가만히 앉아만 있음을 비유적으로 이르는 말.,울며 겨자 먹기
"After a long battle with illness, she finally went west last night.",오랫동안 병에 시달린 끝에 어제 밤에 세상을 떠났다는 말.,한 줌 재가 되다
"When the team scored the winning goal, the fans in the stadium were going nuts!",팀이 결승골을 넣자 관중석에서는 난장판이 되었다.,입에 게거품을 물다
He felt like a good-for-nothing after losing his job and not being able to contribute to the household.,그는 일자리를 잃고 집안의 수입에 기여할 수 없게 됨을 비유적으로 이르는 말.,흑싸리 깝대기
"After weeks of dealing with his constant complaints, I finally told him to leave, and I felt a sense of good riddance.",며칠 동안 계속해서 불평을 들어오던 사람을 쫓아내고 나서 좋게 느껴졌다는 말.,속 시원하다
He was caught trying to grease the palm of the city official to secure the contract.,그는 시의원에게 뇌물을 주려다가 걸려들었다.,약을 치다
"After finally getting the promotion, she felt as happy as a clam.",드디어 승진을 차지하고 나서 그녀는 매우 행복했다.,잔치날에 큰상 받는 기분
She realized that haste makes waste when she rushed through her presentation and forgot key details.,그녀는 급히 하다가는 손해만 본다는 것을 깨닫게 됨을 비유적으로 이르는 말.,급히 먹는 밥이 목이 멘다
"She always seemed to have it easy, sailing through school while others struggled.",그녀는 항상 쉬운 길을 택했음을 비유적으로 이르는 말.,먹는 밥이 살로 가다
She had kittens when she realized she left her phone at the coffee shop.,그녀가 커피숍에 남겨 두었던 핸드폰을 발견하지 못한 사실을 깨닫고는 매우 놀랐다는 말.,뒤웅박 신고 얼음판에 선 것 같다
"When she found out that her coworker had taken credit for her work, she hit the ceiling.",그녀가 자기의 업적을 남자가 빼앗았다는 것을 알게 되자 몹시 화를 냈음을 비유적으로 이르는 말.,이 갈리다
"When the storm forecasted heavy rain, some people hit the panic button and rushed to buy supplies.",폭우가 쏟아질 것처럼 예보가 나자 일부 사람들은 긴장하여 물건을 사러 급히 나섰다.,뒤웅박 신고 얼음판에 선 것 같다
All his claims about transforming the company in a month turned out to be nothing but hot air.,1달 안에 회사를 바꿀 수 있다는 그의 모든 주장은 헛소리였음을 이르는 말.,어림 반 푼어치도 없다
"After checking all the equipment, the team confirmed they were good to go for the presentation.","모든 장비를 점검한 후, 팀은 발표를 위해 준비가 완료되었다고 확인했다.",신들메를 조이다
I haven't seen my old college buddy in a coon's age; we really need to catch up!,대학 동창을 오랜만에 만난 경우를 비유적으로 이르는 말.,보리밥 한 솥 짓는 동안
He loves to swim in the ocean in the buff when no one else is around.,그는 아무도 안 보는 곳에 가서 속옷을 입지 않고 바다를 헤엄치기를 좋아한다는 말.,실 한 오리 안 걸치다
"After the unexpected car repair, I'm really in the hole this month.",뜻밖의 차량 수리비로 이번 달에 큰 손해를 봤음을 비유적으로 이르는 말.,고슴도치 외 따 지듯
"After the storm, the boat seemed to have vanished into thin air.",폭풍이 지나간 뒤에는 보트가 없어져 보이지 않음을 비유적으로 이르는 말.,단 가마에 눈
"After struggling with the project for hours, Jason realized he was just making excuses; it really is a poor workman who blames his tools.",몇 시간 동안 프로젝트에 애를 태우던 제이슨은 결국 그저 핑계만 대고 있음을 깨닫게 됨을 비유적으로 이르는 말.,쓸 줄 모르는 것이 책부터 나무란다
The math test was a piece of cake; I finished it in just fifteen minutes!,수학 시험은 매우 쉬웠다. 15분 만에 끝냈다.,주먹으로 물 찧기
Make sure to keep your eyes peeled for any signs of wildlife while we're hiking in the forest.,숲을 걸을 때는 야생 동물의 징조를 잘 알아야 한다는 말.,신경 쓰다
"After a long and fulfilling life, my grandfather finally kicked the bucket last summer.",할아버지가 오래 살다 보니 여든을 넘어서서 여름에 세상을 떠났습니다.,한 줌 재가 되다
"When the rain started pouring, we had to leg it to the nearest cafe to stay dry.","비가 쏟아지기 시작했을 때, 우리는 가장 가까운 카페로 달려가서 건너치기를 하였다.",길 죄다
I accidentally let the cat out of the bag about the surprise party when I mentioned it in front of her.,뜻밖의 파티에 대하여 말하다가 실수로 비밀을 누설함을 이르는 말. '을 표현하기에 '고양이 껍질을 벗기다'이 적합한 관용구입니다.,뒤가 드러나다
"When the deadline approached, she ran around the office like a chicken with its head cut off, trying to finish her work on time.",마감 기한이 다가오자 그녀는 사무실을 뛰어다니며 일찍 끝내야 할 일을 급히 마치려고 했다.,잔나비 밥 짓듯
"When she saw the state of her garden after the party, she lost her head and yelled at everyone.","그녀가 파티 후 정원 상태를 보았을 때, 그녀는 분을 참지 못하고 모든 사람을 욕했다.",이 갈리다
"If we want to catch the train, we need to make it snappy!",열차를 잡으려면 서둘러야 한다!,일을 하려면 어처구니 독 바르듯 하고 삼동서 김 한 장 쳐부수듯 메로 새알 부수듯 하라
The hero met his death bravely while saving the villagers from the fire.,용감하게 마을 사람들을 불을 피우는 화로부터 구해주다가는 자기 목숨을 잃게 된다는 말.,한 줌 재가 되다
"After years of reckless living, he finally faced the consequences and was forced to meet his maker.",여러 해 동안 무모하게 살아온 끝에 그는 결국 벌을 받게 됨을 비유적으로 이르는 말.,한 줌 재가 되다
"He rushed through the report, but his mistakes proved that more haste, less speed was the better approach.",그는 보고서를 급히 마치려다가 오히려 실수함을 비유적으로 이르는 말.,급한 길은 에워가라
"After the scandal broke, his name was mud in the business community.",그 후로 그의 이름은 비난의 대상으로만 알려지게 됨을 비유적으로 이르는 말.,꼬리표 붙다
