Original_KR_Sentence,KR_to_EN_Translation,Label
"가족끼리 모여서 이야기할 때, 가까운 집 며느리일수록 흉이 많다는 말이 맞아. 매일 보다 보니 작은 단점들도 쉽게 눈에 띄네.","The closer you are to someone, the more you notice their flaws.",familiarity breeds contempt
시험 결과가 발표되기 전이라서 간이 졸아 밤잠을 설쳤다.,"To be extremely anxious or nervous, especially while waiting for the results of a test or exam.",shake in one's shoes
갑자기 나타난 고양이에 간이 오그라들었어.,to be frightened or intimidated by someone or something suddenly and unexpectedly,quake in _ boots
시험 결과를 기다리는 내내 간이 조마조마해서 일할 수가 없었다.,I was so nervous while waiting for the test results that I couldn't do anything.,on pins and needles
혼자서 어두운 길을 걸으니 간이 콩알만 해졌다.,It is very easy to lose one's sense of direction when walking alone in the dark.,quake in one's boots
그들은 거미 줄 따르듯 항상 함께 다니며 모든 일을 같이 해결하는 소중한 친구이다.,They are like two peas in a pod; they are always together and do everything together.,go hand in hand
우리 할머니는 검은 머리 파 뿌리 되도록 건강하게 사셨다.,Our grandmother lived a long and healthy life until her hair turned completely white.,to a ripe old age
"그 문제를 해결하기 위해 노력했지만, 결국 게 등에 소금 치기일 뿐이었다.","to make a lot of effort to solve a problem, but ultimately achieve nothing",wild goose chase
그는 고슴도치 외 따 지듯이 빚을 턱없이 많이 지고 있어 걱정이다.,He has borrowed a lot of money and is in a difficult financial situation.,in the hole
"그 친구가 다음 주에 태양 아래서 뛰어다닐 거라고 했는데, 그건 고양이가 알 낳을 노릇이다.",that will never happen; something that is highly unlikely to occur,a load of codswallop
그의 무례한 말에 골이 올라서 바로 반박하고 싶었다.,He was taken aback by his rudeness and wanted to retort immediately.,fit of anger
때론 귀한 자식에게 매 한 대 더 때리며 가르치는 것이 그 아이에게 진정한 사랑이라는 것을 잊지 말아야 해.,"Sometimes, the best way to show love and care for someone is to discipline them and teach them a lesson.",spare the rod and spoil the child
"그 프로젝트를 성공시키려면 금강산 상상봉에 물 밀어 배 띄워 평지 되거든, 불가능한 일이야.",It is impossible to succeed in that project.,when hell freezes over
"시험 때문에 너무 급히 공부하니까 급히 먹는 밥이 목이 멘다고, 잘 이해가 되지 않더라.",Studying too hard for an exam can lead to confusion and disorganization.,haste makes waste
"그 프로젝트는 기암절벽 천층석이 눈비 맞아 썩어지거든, 현실성이 없어서 도저히 성공할 것 같지 않아.",That project is doomed to fail; it's a fool's errand.,when hell freezes over
"좀 늦었다고 길 죄서 가니, 땀이 난다.","It's too late now, but if I had started earlier, I would have been successful.",leg it
그 기회는 너무 늦어서 꺼내 먹은 김치독이 되어버렸다.,The opportunity has passed and is now useless.,good for nothing
그는 항상 비정직한 일을 해왔기 때문에 이제는 꼬리표 붙는 게 불가피해 됐다.,"He has always been dishonest, so now he has to live with the consequences.",your name is mud
요즘 이 프로젝트는 너무 힘들어서 마치 꽃 없는 나비처럼 느껴진다.,This project is so difficult that it feels like a butterfly without flowers.,good for nothing
그는 프로젝트를 하면서 추가 수익을 올려 꿩 먹고 알 먹고 둥지 털어 불을 땄다.,He made a lot of money from the project by finding ways to charge extra fees.,get the best of both worlds
열심히 일하지 않는다면 나간 놈의 몫은 있어도 자는 놈의 몫은 없다는 걸 깨달아야 해.,"If you don't work hard, you'll be out of a job.","you snooze, you lose!"
우리는 다음 주에 결혼식 날을 잡기로 했다.,We have decided to get married next week.,name the day
그는 낮이고 밤이고 항상 운동을 하고 있다.,"He is always on the move, day and night.",every minute
그는 낮이나 밤이나 열심히 운동을 하여 건강을 유지하고 있다.,"He is always busy exercising, day and night, to maintain his health.",every minute
이번 프로젝트는 너 나 할 것 없이 모두가 참여해야 성공할 수 있다.,This project is a team effort; everyone has to pitch in for it to be successful.,all and sundry
이 문제는 누운 소 타기처럼 간단하니까 걱정하지 않아도 돼.,This problem is as easy as falling off a log.,a piece of cake
그녀가 내 친구를 괴롭히자 나는 눈에 불을 달고 면담을 요청했다.,I was so angry when I saw her bullying my friend that I wanted to confront her immediately.,blow one's top
그의 거짓말에 눈에 쌍심지가 나서 큰소리로 항의했다.,to express strong disapproval or outrage at someone's dishonest or deceitful behavior,blow one's top
그는 친구가 자신의 비밀을 누설하자 눈에 쌍심지를 켜고 크게 화를 냈다.,He was furious when his friend betrayed his trust by revealing his secret.,blow one's top
회의를 늦게 시작해서 팀 프로젝트는 늙은 소 흥정하듯 계속 질질 끌리고 있다.,The meeting is running late and the project is being dragged out like an old man haggling over a price.,drag your feet
그의 행복은 단 가마에 눈처럼 순식간에 사라져 버렸다.,His happiness was short-lived and disappeared quickly.,into thin air
열심히 준비한 프로젝트가 결국 실패하자 나는 마치 닭 쫓던 개 울타리 넘겨다보듯 허탈한 기분이 들었다.,"I felt a sense of disappointment and disillusionment, like a dog that had been chasing chickens all day, only to find that they were all locked up in a coop.",go down the pan
열심히 준비했던 발표가 예상치 못한 상황으로 망쳐져서 나는 닭 쫓던 개 지붕 쳐다보듯 됐다.,all one's hard work and preparation comes to nothing due to unforeseen circumstances,go down the pan
꾸준히 연습하는 것이 중요하다는 것을 알고 있어서 돌 뚫는 화살은 없어도 돌 파는 락수는 있다는 마음으로 매일 운동하고 있어.,"To emphasize the importance of consistent practice and preparation, the idiom means: to always be ready and prepared, even when there is no immediate need to do so.",slow and steady wins the race
시험 준비를 할 때는 될 수 있는 대로 많은 문제를 풀어보는 것이 좋다.,"To prepare for a test, it is a good idea to try to solve as many problems as possible.",to the nth degree
"어젯밤 영화를 보는데, 주인공이 위험한 상황에 처하자 두 눈이 꿀단지처럼 커졌다.",to be extremely scared or frightened,bug-eyed
지금 회사의 상황이 너무 힘들어서 뒤웅박 신고 얼음판에 선 것 같은 기분이야.,I feel like I'm walking on thin ice and could slip up at any moment.,shake in one's shoes
그 사람은 정말 들 데 놓을 데를 안다. 그래서 어디에 가든 항상 잘 어울린다.,"That person knows exactly where to go and what to do in any situation, so they always fit in perfectly.",behave yourself
이번 달은 지출이 너무 많아서 이제 땡전 한 푼도 없다.,I've spent so much money this month that I don't have a single won left.,broke
그는 새로운 프로젝트를 위해 맨발 벗고 나서겠다고 결심했다.,He has made up his mind to go all out for the new project.,go for it
"그는 지금 아무 걱정 없이 편안하게 살고 있어, 정말 먹는 밥이 살로 간다는 말이 딱 맞아떨어져.","He is living the high life, with no worries or cares.",have it easy
그는 항상 실패할 때 못되면 조상 탓하다며 자신을 변명하는 경향이 있다.,He always blames his ancestors when he fails.,pass the buck
그는 항상 일이 잘 안되면 터 탓하는 모습이 주위 사람들을 짜증나게 한다.,"He always blames others when things don't go his way, which annoys those around him.",pass the buck
그는 마침내 상대방의 압박에 무릎 꿇고 협상을 시작했다.,He finally gave in to the pressure and agreed to negotiate.,throw in the towel
이번 프로젝트에서 내가 맡은 역할은 물 없는 기러기 같아서 아무런 도움이 되지 않는 느낌이야.,My role in this project is as useless as a bird without wings.,good for nothing
그는 갑작스러운 사고로 물고 나고 말았다.,He was caught off guard and is now in a difficult situation.,breathe one's last
이 작은 카페는 주말마다 손님이 많아서 발 들여놓을 자리 하나 없다.,"This small cafe is always crowded on weekends, so there is no place to put your feet.",burst at the seams
오늘은 일이 다 끝나서 발 뻗고 잘 수 있을 것 같아.,Today is the last day of work before the weekend.,sleep like a log
요즘은 밤이슬 맞는 놈들이 많아서 밤에 외출할 때 조심해야 해.,"Nowadays, there are a lot of people who can see in the dark, so when going out at night, one has to be careful.",tea leaf
그는 항상 성적이 나쁜데도 밭 갈 줄 모르는 소 멍에 나무라는 식으로 선생님의 가르침만 탓하고 있다.,"He always blames his teacher for his poor performance, saying that the teacher is not teaching him properly.",it is a poor workman who blames his tools
보리밥 한 솥 짓는 동안 기다리는데 너무 시간이 걸려서 짜증이 났다.,I'm fed up waiting for what feels like an eternity.,in a coon's age
그런 식으로 돈 걱정 없이 살 수 있다고 생각하는 것은 불 안 때도 절로 익는 솥과 같은 생각이야.,To think that one can live without worrying about money is unrealistic.,far-fetched
그는 친구가 화를 내고 있을 때 불붙는 데 키질하기처럼 상황을 더 악화시켰다.,He added fuel to the flames by making the situation worse.,fan the flames
회의 중에 계속 불알 밑이 근질근질해서 집중하기 힘들었다.,I couldn't concentrate during the meeting because I had an itchy scrotum.,ants in pants
"그렇게 위험한 행동을 하다니, 정말 불집을 건드리는 격이야!",What a reckless thing to do! It's like playing with fire!,raise Cain
친구와 삼대 구 년 만에 만나서 모든 이야기를 나누었다.,"3 generations have passed since they last saw each other, but they still managed to catch up on everything.",in coon's age
"그가 기부한 돈은 새 발의 피에 불과해, 우리 프로젝트에는 큰 도움이 되지 않는다.",The money he donated is just a drop in the bucket; it won't make a significant difference in our project.,small beer
그는 스트레스를 받을 때마다 소 먹듯이 과자를 먹는다.,He has a tendency to overeat when he is stressed.,eat like a horse
식당에서 소같이 먹고 나니 배가 터질 것 같았다.,"To eat a large meal, especially in a restaurant, and then feel uncomfortably full.",eat like a horse
그의 이기적인 행동을 듣고 속이 뒤집혔다.,His selfish behavior made me feel sick to my stomach.,make one’s flesh crawl
오랫동안 고민했던 문제가 해결되니까 속이 시원하다.,"after a long time of worrying or thinking about something, it feels great to finally have it resolved",good riddance
어두운 골목길을 지나갈 때 속이 떨려서 발걸음이 떨어지지 않았다.,"to walk nervously or hesitantly, often due to fear or uncertainty",quake in _ boots
이번 프로젝트를 성공적으로 마치기 위해서 모든 팀원들이 신들메를 졸라야 한다.,"In order to successfully complete this project, everyone on the team needs to pull together.",all set
그 친구는 바닷가에서 실 한 오리 안 걸치고 수영을 하며 즐거워했다.,He was so happy that he would have swum naked in the sea.,in the buff
그가 중요한 회의에서 아무 말도 하지 않았던 것은 쓰다 달다 말이 없었기 때문이다.,He didn't say a word at the important meeting because he had nothing to say.,not bat an eye
요리도 잘 하지 못하면서 재료가 안 좋다고 불평하는 건 쓸 줄 모르는 것이 책부터 나무란다라고 할 수 있어.,You can't blame the ingredients for a bad dish if you're the one who cooked it.,it is a poor workman who blames his tools
"그 회사는 직원이 아홉 마리 소에 터럭 하나처럼 많아서, 간부들이 알아주는 사람이 없어서 불만이 많다.","The company has a large number of employees, but few of them are well-known or respected by their superiors, resulting in a lot of dissatisfaction.",a dime's worth
그는 항상 실패하면 안되면 조상 탓하다며 자신의 무능함을 숨기려 한다.,He always tries to shift the blame onto others when he fails.,pass the buck
이 문제는 약과 먹기 때문에 걱정하지 말고 편하게 해결하자.,This problem can be easily solved by taking medicine.,duck soup
그는 계약을 따내기 위해 공무원에게 약을 쳤다는 소문이 돌고 있다.,There is a rumor that he bribed an official to get the contract.,grease someone's palm
그 계획은 양을 보째 낳는 암소 같다. 실현 가능성이 전혀 없어 보여.,that plan is doomed to fail; it has no chance of success,far-fetched
"우리가 이 정도 거리에 있다면, 엎드러지면 코 닿을 데의 관계라고 할 수 있어.","We are so close that if we were to lie down, our noses would touch.",stone's throw
그 카페는 집에서 엎어지면 코 닿을 데에 있어 자주 가게 된다.,"That cafe is just around the corner from my house, so I go there often.",stone's throw
그 소식을 듣고 나는 열이 상투 끝까지 올랐다.,"Upon hearing the news, I felt a chill run down my spine.",blow one's top
그의 행동에 너무 화가 나서 지금 이 갈고 있다.,I'm so angry with him that I could kill him right now.,blow one's top
그림을 그리는 데 필요한 색연필이 이리 죽은 데 토끼 눈물만큼밖에 남지 않았다.,to have very little or almost nothing left; to be in a very difficult or desperate situation,next to nothing
일을 하려면 어처구니 독 바르듯 하고 삼동서 김 한 장 쳐부수듯 메로 새알 부수듯 신속하게 처리해야 결과가 좋습니다.,"To do a job well, one must work quickly and efficiently, without hesitation or delay.",make it snappy
그 사람은 정치 문제에 대해 이야기하며 입에 게거품을 물고 열변을 토했다.,He spoke with great passion and eloquence on the subject of politics.,going nuts
그날의 기쁨에 입이 가로 터져서 친구들과 계속 웃고 떠들었다.,She laughed and joked with her friends throughout the day.,over the moon
친구의 결혼 소식을 듣고 입이 귀밑까지 찢어질 정도로 기뻤다.,I was overjoyed to hear the news of my friend's wedding.,over the moon
"시험에 합격하고 친구들과 축하 파티를 할 때, 잔치날에 큰상 받는 기분이었다.","to feel extremely happy and proud, especially when achieving a great success or accomplishment",be on cloud nine
그 친구는 항상 잘되면 제 탓 못되면 조상 탓하다며 자신의 실패를 남에게 돌려서 별로 신뢰가 가지 않아.,He always blames others for his own failures.,pass the buck
선생님께서 숙제를 안 해온 학생에게 주릿대경 치셨다.,The teacher gave the student a good scolding for not doing his homework.,get it in the neck
그 작업은 주먹으로 물 찧기처럼 간단해서 금방 끝낼 수 있을 거야.,That task is as easy as pie; it can be completed quickly.,it's a piece of cake
그 프로젝트는 결국 줄 없는 거문고가 되어 버렸어. 아무런 성과도 없이 시간만 낭비했지.,"The project ultimately turned out to be a waste of time and resources, achieving nothing.",good for nothing
밤에 불행하게도 찬 이슬 맞는 놈이 우리 집에 침입해 소중한 물건을 훔쳐갔다.,An unlucky person who breaks into someone's house at night and steals valuable items.,tea leaf
그는 항상 칼 물고 뜀뛰는 행동을 일삼아서 주변 사람들을 놀라게 한다.,"He is always on the lookout for a fight, and his aggressive behavior often startles those around him.",sail close to the wind
그는 어릴 때 잘못된 길로 가서 몇 년 동안 콩밥 맛을 봤다.,He went down the wrong path when he was young and has been suffering the consequences ever since.,up the river
그는 범죄로 인해 결국 콩밥을 먹게 되었다.,He ended up in prison due to his criminal activities.,up the river
이 대학에 입학하는 것은 하늘의 별 따기처럼 어렵다.,It is extremely difficult to get into this university.,a big ask
그 할아버지는 병원에서 치료를 받다가 결국 한 줌 재가 되셨다.,The old man died in the hospital after receiving treatment.,breathe one's last
그 회사의 연봉은 한 줌도 못 되는 수준이라 많은 사람들이 떠나고 있다.,The company's salaries are so low that many people are leaving.,next to nothing
"그는 헌 정승만치도 안 여긴 듯, 나의 의견을 전혀 고려하지 않더라.","He didn't even consider me, let alone take my opinion into account.",send someone to Coventry
그 소식을 들었을 때 나는 혀가 내둘려서 아무 말도 할 수 없었다.,I was speechless when I heard the news.,at a loss for words
"회의에서는 혀를 조심해야 하므로, 불필요한 발언은 피하는 것이 좋다.","In a meeting, you should be careful about what you say, so it's best to avoid unnecessary comments.",mind one's language
그는 회사에서 지각을 해서 혼뜨검 만났다.,He got into trouble at work for being late.,get it in the neck
그의 배신에 화가 머리끝까지 나서 더 이상 그와 이야기하고 싶지 않았다.,I was so angry with him that I didn't want to speak to him anymore.,blow your top
그 영화는 흑싸리 깝대기 같은 내용으로 시간 낭비였어.,That movie was a complete waste of time.,good for nothing
그의 발언은 사회의 불평등 문제에 대해 경종을 울리는 중요한 메시지였다.,His words were a wake-up call for society to address the issue of inequality.,better safe than sorry
이번 복권에 당첨된 건 정말 굴러온 호박이야!,This lottery win is just luck!,stroke of luck
그 소식을 듣고 귀를 의심할 수밖에 없었다. 너무 믿기 어려운 일이었거든.,I couldn't believe my ears when I heard the news.,cock and bull story
"결혼식 날, 두 사람의 행복한 모습에 깨가 쏟아지는 듯한 분위기가 이어졌다.","There was a joyful atmosphere at the wedding, with laughter and happiness filling the air.",have a blast
이 문제는 누워서 떡 먹기처럼 간단해서 금방 해결할 수 있을 거야.,This problem is as easy as falling off a log.,a piece of cake
그 정치인의 발언이 언론에 보도되자마자 도마 위에 올랐다.,The politician's statement was immediately condemned by the media.,come under fire
그가 회의 중에 딴 주머니를 차고 있다는 소문이 있어 모두가 경계하고 있다.,"There is a rumor that he has his hand in the till during meetings, so everyone is keeping an eye on him.",have an axe to grind
그의 무례한 행동에 내가 드디어 뚜껑이 열렸다.,I finally lost my temper with his rude behavior.,blow your top
그는 프로젝트 성공을 위해 발 벗고 나서서 새로운 아이디어를 제안했다.,He came up with innovative ideas to ensure the success of the project.,go for it
그의 갑작스러운 이혼 소식에 모두 어안이 벙벙해졌다.,Everyone was shocked by his sudden divorce.,great scot
"이번에 복권에 당첨되다니, 정말 웬 떡이냐!",What a coincidence that I won the lottery this time!,stroke of luck
"파티가 시작되자마자 사람들이 하나둘씩 떠나더니, 갑자기 쥐 죽은 듯한 분위기가 되었다.","The party started off well, but soon everyone left and it became very quiet.",quiet as a mouse
어제 파티에서 너무 많이 마셔서 필름이 끊겼어요.,I got a bit too drunk at the party last night and I think I may have left my phone on the table.,black out
공연에 나가기 전에는 항상 간 떨려서 준비가 잘 될지 걱정되곤 해.,"Before a performance, one is always nervous and worried that everything won't go well.",quake in one's boots
그 친구는 간이 작아서 사람들 앞에서 발표할 때마다 떨고 주눅이 든다.,He is very nervous in front of an audience.,shake in _ shoes
그의 말이 거짓으로 밝혀지면서 꼬리표가 붙어 많은 사람들에게 신뢰를 잃었다.,"His words were proven to be false, and he became known as a liar.",name is mud
"그는 항상 나의 사소한 실수를 꼬투리 잡아서 비 criticize하는데, 정말 스트레스가 된다.","He always picks on my small mistakes and criticizes me, which is really stressful.",break open
이제 모든 일이 끝났으니 다리 뻗고 자도 좋겠다.,"Now that everything is over, you can relax and take it easy.",sleep like a log
그의 계획이 성공할지 두고 보자.,Let's wait and see if his plan will work.,in the long run
"그 친구는 나에게 항상 잘 대해 줬지만, 뒤통수를 치고 나에게 뒷얘기를 퍼뜨렸다.","He always treated me well, but he kicked me in the backside and spread bad words about me.",sell someone out
그 영화를 보고 나니 등골이 오싹해져서 밤에 잠을 못 잤어.,The movie scared me so much that I couldn't sleep at night.,make one’s flesh crawl
어제 그 친구와 논쟁을 하다가 결국 내가 떡이 되어버렸다.,I lost the argument with my friend yesterday and ended up looking foolish.,take a beating
그녀는 여행을 하면서 다양한 음식을 맛을 들여 이제는 요리를 직접 해보는 것을 즐긴다.,"She enjoys cooking and trying out new recipes, having developed a taste for different foods during her travels.",beer and skittles
택시에서 바가지를 써서 결국 예상보다 두 배나 비싼 요금을 지불하게 되었다.,to pay a lot of money for something that was supposed to be cheap or affordable,highway robbery
그 사람이 불난 집에 부채질하는 바람에 상황이 더 악화되었다.,someone who makes a bad situation worse by their actions or behavior,fan the flames
그는 항상 친구에게 비행기를 태워 주면서 지나치게 칭찬하는 것이 좋지 않다고 걱정하고 있다.,He is always worried that his friend is being too flattering by offering him a flight every time they meet.,butter up
그는 일 이야기를 하다가 소설 쓰듯이 과장해서 말하기 시작했다.,He began to exaggerate and tell an outlandish story.,mince pies
우리 팀은 손발이 잘 맞아서 프로젝트를 순조롭게 진행할 수 있었다.,We worked well together as a team and were able to complete the project successfully.,hand in glove
프로젝트가 어려워지자 그는 손을 놓고 다른 일에 집중하기로 했다.,"when a project becomes too difficult, he will abandon it and focus on something else",cold turkey
그는 생활이 힘들어서 손 벌리며 도움을 요청했다.,He was in dire need of money and begged for help.,for the love of God
"그는 정말 미안해하며 손이 발이 되도록 빌었지만, 친구는 아직 화가 나 있었다.","He begged for forgiveness and promised to make it up to him, but his friend was still angry.",eat humble pie
그렇게 어려운 문제도 그 친구에게는 식은 죽 먹기였던 것 같아.,It seemed like child's play to him.,easy-peasy
그 신입 사원은 새 옷을 입고 인터뷰에 가서 옷이 날개라는 것을 제대로 보여주었다.,That new employee really made a bad impression at the interview.,dressed to kill
"그 선수는 평소에는 실력이 뛰어나지만, 이번 경기에서는 원숭이도 나무에서 떨어질 때가 있다며 실수를 많이 했어.","That player is usually very skilled, but today he's been making a lot of mistakes.",screw up
이번 프로젝트에서 좋은 성과를 내서 보너스를 받게 됐어. 웬 떡이야!,I got a bonus for doing a great job on this project. What's the big deal?,stroke of luck
"내 친구는 평소에 참조하고 조용한데, 계속해서 무시하니까 결국 지렁이도 밟으면 꿈틀한다는 걸 보여주더니 화를 냈어.","My friend is usually quiet and reserved, but if you ignore him long enough, he'll eventually make his presence known.",fly in the face of
그는 법정에서 유죄 판결을 받아 콩밥을 먹게 되었다.,He was found guilty in court and sentenced to eat beans.,up the river
좋은 대학에 가고 싶다면 하늘을 봐야 별을 따기 위해 열심히 공부해야 해.,"If you want to get into a good university, you need to work hard and study diligently.",put your shoulder to the wheel
하루가 멀다 하고 친구와 만날 약속을 잡는다.,He is always making plans to meet his friends.,every minute
그녀는 문제를 해결하기보다 한술 더 떠서 상황을 더욱 복잡하게 만들었다.,She has made the situation worse by exacerbating the problem.,it's all gone Pete Tong
"그가 그렇게 쉽게 포기할 줄 몰랐는데, 진짜 해가 서쪽에서 뜨겠다 싶더라.","I didn't think he would give up so easily, but he did.",never in wildest dreams
그녀는 요즘 허파에 바람이 들어서 아무 일에도 집중하지 못하고 자꾸 웃는다.,She has been feeling very lighthearted lately and can't seem to focus on anything.,in stitches
그의 기상천외한 발상에 모두가 혀를 내두르며 어이없어 했다.,Everyone was amazed by his extraordinary idea.,at a loss for words
